dataset,variant,q,trial,auc
Cora,no-PI,1.0,0,0.8958049033410266
Cora,PI,1.0,1,0.9048064840185936
Cora,no-PI,1.0,1,0.9024300667197158
Cora,PI,1.0,2,0.9013894839933893
Cora,no-PI,1.0,2,0.9041151626225565
Cora,PI,1.0,3,0.8931728411509061
Cora,no-PI,1.0,3,0.8956788812115408
Cora,PI,1.0,4,0.9045148328046405
Cora,no-PI,1.0,4,0.9137792596379924
Cora,PI,1.0,5,0.9143553608013566
Cora,no-PI,1.0,5,0.9123570098909368
Cora,PI,1.0,6,0.8941774175545225
Cora,no-PI,1.0,6,0.8929027937305791
Cora,PI,1.0,7,0.9061927274429389
Cora,no-PI,1.0,7,0.8941630150254384
Cora,PI,1.0,8,0.9017063396332397
Cora,no-PI,1.0,8,0.8823205354860315
Cora,PI,1.0,9,0.9062719413529015
Cora,no-PI,1.0,9,0.9142149361427867
Cora,PI,1.0,10,0.9054906041500888
Cora,no-PI,1.0,10,0.9042555872811264
Cora,PI,1.0,11,0.9030421742057906
Cora,no-PI,1.0,11,0.9098473691980311
Cora,PI,1.0,12,0.9052313586265748
Cora,no-PI,1.0,12,0.9150466821973938
Cora,PI,1.0,13,0.9136928444634879
Cora,no-PI,1.0,13,0.9003056936798102
Cora,PI,1.0,14,0.9113416315905072
Cora,no-PI,1.0,14,0.9133399825009271
Cora,PI,1.0,15,0.8883731983336273
Cora,no-PI,1.0,15,0.8904039549344864
Cora,PI,1.0,16,0.9031141868512111
Cora,no-PI,1.0,16,0.901627125723277
Cora,PI,1.0,17,0.8910268643173742
Cora,no-PI,1.0,17,0.8919810318691963
Cora,PI,1.0,18,0.8912140971954676
Cora,no-PI,1.0,18,0.8947535187178869
Cora,PI,1.0,19,0.9068552437808078
Cora,no-PI,1.0,19,0.9090444282015921
Chameleon,PI,0.0,0,0.9513268316855352
Chameleon,no-PI,0.0,0,0.9704845361158911
Chameleon,PI,0.0,1,0.9440057924483427
Chameleon,no-PI,0.0,1,0.964047497590194
Chameleon,PI,0.0,2,0.9320205782642995
Chameleon,no-PI,0.0,2,0.9636637924572566
Chameleon,PI,0.0,3,0.9469618819136311
Chameleon,no-PI,0.0,3,0.978200574868894
Chameleon,PI,0.0,4,0.946903232158623
Chameleon,no-PI,0.0,4,0.9780591165219703
Chameleon,PI,0.0,5,0.9414112245299003
Chameleon,no-PI,0.0,5,0.967999923826225
Chameleon,PI,0.0,6,0.9428426229548049
Chameleon,no-PI,0.0,6,0.9710219056328481
Chameleon,PI,0.0,7,0.9224292161272847
Chameleon,no-PI,0.0,7,0.9643131941487196
Chameleon,PI,0.0,8,0.9408332864000234
Chameleon,no-PI,0.0,8,0.965938116506168
Chameleon,PI,0.0,9,0.9496828152368619
Chameleon,no-PI,0.0,9,0.9764379927237837
Chameleon,PI,0.0,10,0.951954353675648
Chameleon,no-PI,0.0,10,0.9648740640856452
Chameleon,PI,0.0,11,0.9406303926879658
Chameleon,no-PI,0.0,11,0.9702508487500815
Chameleon,PI,0.0,12,0.942629245219184
Chameleon,no-PI,0.0,12,0.9800797981070817
Chameleon,PI,0.0,13,0.9474691161937745
Chameleon,no-PI,0.0,13,0.9641036149723607
Chameleon,PI,0.0,14,0.9423608643454464
Chameleon,no-PI,0.0,14,0.9674116029676978
Chameleon,PI,0.0,15,0.9379249574865246
Chameleon,no-PI,0.0,15,0.9663803194517432
Chameleon,PI,0.0,16,0.9452770942622104
Chameleon,no-PI,0.0,16,0.9667389034460936
Chameleon,PI,0.0,17,0.9502643493361739
Chameleon,no-PI,0.0,17,0.967358828317682
Chameleon,PI,0.0,18,0.9481010951600886
Chameleon,no-PI,0.0,18,0.9702259808487783
Chameleon,PI,0.0,19,0.947008426926457
Chameleon,no-PI,0.0,19,0.9705690160738821
Chameleon,PI,0.25,0,0.9488533618363715
Chameleon,no-PI,0.25,0,0.9895421105240958
Chameleon,PI,0.25,1,0.9500861209355923
Chameleon,no-PI,0.25,1,0.9835651028487776
Chameleon,PI,0.25,2,0.9573904971594879
Chameleon,no-PI,0.25,2,0.9726583756104538
Chameleon,PI,0.25,3,0.9593216846883824
Chameleon,no-PI,0.25,3,0.9800399385585572
Chameleon,PI,0.25,4,0.9668193316075381
Chameleon,no-PI,0.25,4,0.9886875866324749
Chameleon,PI,0.25,5,0.9544697089716093
Chameleon,no-PI,0.25,5,0.9837571073576168
Chameleon,PI,0.25,6,0.9600175300977577
Chameleon,no-PI,0.25,6,0.9681003577331171
Chameleon,PI,0.25,7,0.9517479652890694
Chameleon,no-PI,0.25,7,0.9867473838562649
Chameleon,PI,0.25,8,0.9641662152290014
Chameleon,no-PI,0.25,8,0.9723190882971555
Chameleon,PI,0.25,9,0.9476593986890819
Chameleon,no-PI,0.25,9,0.9736424556966436
Chameleon,PI,0.25,10,0.9572221956604449
Chameleon,no-PI,0.25,10,0.9701175952911641
Chameleon,PI,0.25,11,0.9567520859661569
Chameleon,no-PI,0.25,11,0.9721047989073113
Chameleon,PI,0.25,12,0.9632705656024352
Chameleon,no-PI,0.25,12,0.9854601787409529
Chameleon,PI,0.25,13,0.9534613687535985
Chameleon,no-PI,0.25,13,0.9710679948185624
Chameleon,PI,0.25,14,0.9540484740731616
Chameleon,no-PI,0.25,14,0.9794205201615369
Chameleon,PI,0.25,15,0.9540075509280438
Chameleon,no-PI,0.25,15,0.9854108987654581
Chameleon,PI,0.25,16,0.9607091211207592
Chameleon,no-PI,0.25,16,0.9825684621932941
Chameleon,PI,0.25,17,0.9430417687550572
Chameleon,no-PI,0.25,17,0.9720627108706864
Chameleon,PI,0.25,18,0.9581274176563518
Chameleon,no-PI,0.25,18,0.9704522736858909
Chameleon,PI,0.25,19,0.955741061432934
Chameleon,no-PI,0.25,19,0.9687922526408597
Chameleon,PI,0.5,0,0.9521069544630743
Chameleon,no-PI,0.5,0,0.9851842007486908
Chameleon,PI,0.5,1,0.9577679726552353
Chameleon,no-PI,0.5,1,0.976108075189999
Chameleon,PI,0.5,2,0.961902476498567
Chameleon,no-PI,0.5,2,0.9861416402725888
Chameleon,PI,0.5,3,0.9619343843963694
Chameleon,no-PI,0.5,3,0.9688584488669353
Chameleon,PI,0.5,4,0.9658529781312385
Chameleon,no-PI,0.5,4,0.9825038360383804
Chameleon,PI,0.5,5,0.9520174097594002
Chameleon,no-PI,0.5,5,0.9693775346519768
Chameleon,PI,0.5,6,0.9529738363341614
Chameleon,no-PI,0.5,6,0.9814049888150157
Chameleon,PI,0.5,7,0.9596195423819943
Chameleon,no-PI,0.5,7,0.9781452171985798
Chameleon,PI,0.5,8,0.9557940893202342
Chameleon,no-PI,0.5,8,0.9742686102054219
Chameleon,PI,0.5,9,0.962664822018759
Chameleon,no-PI,0.5,9,0.9869611161240839
Chameleon,PI,0.5,10,0.9550321996271537
Chameleon,no-PI,0.5,10,0.980481837619391
Chameleon,PI,0.5,11,0.9483075341941241
Chameleon,no-PI,0.5,11,0.9726365972040172
Chameleon,PI,0.5,12,0.9498538010511172
Chameleon,no-PI,0.5,12,0.9835714337808814
Chameleon,PI,0.5,13,0.9554643743762766
Chameleon,no-PI,0.5,13,0.9721998641837797
Chameleon,PI,0.5,14,0.9468585611016995
Chameleon,no-PI,0.5,14,0.9715271140147186
Chameleon,PI,0.5,15,0.9488163385454292
Chameleon,no-PI,0.5,15,0.9861673691806578
Chameleon,PI,0.5,16,0.9620686508044234
Chameleon,no-PI,0.5,16,0.9693796111977071
Chameleon,PI,0.5,17,0.9600708112223418
Chameleon,no-PI,0.5,17,0.9889695410246426
Chameleon,PI,0.5,18,0.9603288600148862
Chameleon,no-PI,0.5,18,0.9848853301059424
Chameleon,PI,0.5,19,0.9611979197266173
Chameleon,no-PI,0.5,19,0.985838363301096
Chameleon,PI,1.0,0,0.9612778920609504
Chameleon,no-PI,1.0,0,0.9611163266736655
Chameleon,PI,1.0,1,0.9508764238519538
Chameleon,no-PI,1.0,1,0.9881424174071662
Chameleon,PI,1.0,2,0.951286870842097
Chameleon,no-PI,1.0,2,0.9697749145982584
Chameleon,PI,1.0,3,0.9586353103534341
Chameleon,no-PI,1.0,3,0.9612144307975435
Chameleon,PI,1.0,4,0.9607366226898175
Chameleon,no-PI,1.0,4,0.98813836561062
Chameleon,PI,1.0,5,0.9522496283489615
Chameleon,no-PI,1.0,5,0.9687565968312521
Chameleon,PI,1.0,6,0.9574510208703988
Chameleon,no-PI,1.0,6,0.9760787503124948
Chameleon,PI,1.0,7,0.9518828394666052
Chameleon,no-PI,1.0,7,0.9755708069679557
Chameleon,PI,1.0,8,0.9622598956014101
Chameleon,no-PI,1.0,8,0.9909521863696754
Chameleon,PI,1.0,9,0.9538620914320305
