dataset,variant,mean_acc,std_acc,n
ACM,none,0.782720,0.072651,5
ACM,ph_pdgnn,0.850330,0.070667,5
ACM,shuffled,0.856374,0.072292,5
ACM,random,0.883664,0.032842,5
