dataset,backbone,variant,mean,std,n
DBLP,HAN,none,0.915493,0.004258,10
DBLP,HAN,epd,0.784472,0.163647,10
DBLP,HAN,shuffled,0.837782,0.184571,10
DBLP,HAN,random,0.917782,0.006200,10
DBLP,HGT,none,0.847359,0.031107,10
DBLP,HGT,epd,0.827359,0.011100,10
DBLP,HGT,shuffled,0.844507,0.024996,10
DBLP,HGT,random,0.834155,0.017180,10
