dataset,no-PI,exact-PI,B-hks-multi,no-PI_std,exact-PI_std,B-hks-multi_std,B_minus_noPI,B_minus_exact
Cora,0.917884,0.920698,0.922495,0.005540,0.004809,0.004313,0.004611,0.001797
Chameleon,0.966763,0.944107,0.951345,0.005348,0.006532,0.003000,-0.015419,0.007238
