dataset,variant,slope_per_10pct,slope_std_across_seeds,auc_at_0,auc_at_max_p,r2
Chameleon,PI,0.00510,0.00051,0.9712,0.9826,0.737
Chameleon,no-PI,-0.00040,0.00043,0.9848,0.9835,0.178
Chameleon,GDC-PI,-0.00068,0.00061,0.9822,0.9810,0.492
Cornell,PI,0.00529,0.01560,0.5998,0.6082,0.483
Cornell,no-PI,-0.00076,0.01291,0.6076,0.6070,0.034
Cornell,GDC-PI,0.01545,0.00473,0.6893,0.7084,0.298
Texas,PI,0.00198,0.00805,0.5897,0.5877,0.019
Texas,no-PI,-0.00064,0.01766,0.5910,0.5876,0.002
Texas,GDC-PI,0.02597,0.01690,0.6315,0.6821,0.465
