dataset,variant,p,auc_mean,auc_std,n
Cornell,PI,0.0,0.5998,0.0735,30
Cornell,PI,5.0,0.5982,0.0666,30
Cornell,PI,10.0,0.6116,0.0654,30
Cornell,PI,20.0,0.6082,0.0600,30
Cornell,no-PI,0.0,0.6076,0.0686,30
Cornell,no-PI,5.0,0.6123,0.0619,30
Cornell,no-PI,10.0,0.6141,0.0635,30
Cornell,no-PI,20.0,0.6070,0.0662,30
Cornell,GDC-PI,0.0,0.6893,0.0570,30
Cornell,GDC-PI,5.0,0.6678,0.0679,30
Cornell,GDC-PI,10.0,0.7237,0.0725,30
Cornell,GDC-PI,20.0,0.7084,0.0549,30
