dataset,variant,p,graph_seed,init_seed,auc
Cornell,PI,0.0,0,0,0.6403061224489796
Cornell,PI,0.0,0,1,0.6900510204081632
Cornell,PI,0.0,0,2,0.5714285714285715
Cornell,PI,0.0,0,3,0.653061224489796
Cornell,PI,0.0,0,4,0.5854591836734694
Cornell,PI,0.0,0,5,0.42474489795918363
Cornell,PI,0.0,0,6,0.5612244897959183
Cornell,PI,0.0,0,7,0.6281887755102041
Cornell,PI,0.0,0,8,0.5695153061224489
Cornell,PI,0.0,0,9,0.6052295918367347
Cornell,no-PI,0.0,0,0,0.5471938775510203
Cornell,no-PI,0.0,0,1,0.6466836734693877
Cornell,no-PI,0.0,0,2,0.5854591836734694
Cornell,no-PI,0.0,0,3,0.7040816326530612
Cornell,no-PI,0.0,0,4,0.5841836734693878
Cornell,no-PI,0.0,0,5,0.4764030612244898
Cornell,no-PI,0.0,0,6,0.5401785714285714
Cornell,no-PI,0.0,0,7,0.5676020408163265
Cornell,no-PI,0.0,0,8,0.6058673469387755
Cornell,no-PI,0.0,0,9,0.6275510204081634
Cornell,GDC-PI,0.0,0,0,0.6045918367346939
Cornell,GDC-PI,0.0,0,1,0.7053571428571428
Cornell,GDC-PI,0.0,0,2,0.6505102040816326
Cornell,GDC-PI,0.0,0,3,0.6798469387755102
Cornell,GDC-PI,0.0,0,4,0.6862244897959183
Cornell,GDC-PI,0.0,0,5,0.6836734693877551
Cornell,GDC-PI,0.0,0,6,0.6262755102040817
Cornell,GDC-PI,0.0,0,7,0.7321428571428572
Cornell,GDC-PI,0.0,0,8,0.6033163265306123
Cornell,GDC-PI,0.0,0,9,0.6645408163265306
Cornell,PI,0.0,1,1000,0.5739795918367347
Cornell,PI,0.0,1,1001,0.5720663265306122
Cornell,PI,0.0,1,1002,0.5599489795918368
Cornell,PI,0.0,1,1003,0.6326530612244898
Cornell,PI,0.0,1,1004,0.5867346938775511
Cornell,PI,0.0,1,1005,0.5369897959183674
Cornell,PI,0.0,1,1006,0.7589285714285715
Cornell,PI,0.0,1,1007,0.5369897959183674
Cornell,PI,0.0,1,1008,0.5880102040816326
Cornell,PI,0.0,1,1009,0.5650510204081632
Cornell,no-PI,0.0,1,1000,0.6989795918367347
Cornell,no-PI,0.0,1,1001,0.6147959183673469
