dataset,backbone,variant,mean,std,n
ACM,HAN,none,0.665014,0.024521,10
ACM,HAN,epd,0.736780,0.090813,10
ACM,HAN,shuffled,0.746034,0.094687,10
ACM,HAN,random,0.714023,0.063909,10
ACM,HGT,none,0.720349,0.058666,10
ACM,HGT,epd,0.746601,0.031522,10
ACM,HGT,shuffled,0.737866,0.060435,10
ACM,HGT,random,0.736969,0.097200,10
