dataset,variant,mean_acc,std_acc,n
ACM,none,0.782720,0.072651,5
ACM,ph_pdgnn,0.896978,0.002141,5
ACM,shuffled,0.850519,0.035213,5
ACM,random,0.892446,0.014633,5
