dataset,variant,p,auc_mean,auc_std,n
Texas,PI,0.0,0.5897,0.0636,30
Texas,PI,5.0,0.5655,0.0594,30
Texas,PI,10.0,0.5702,0.0588,30
Texas,PI,20.0,0.5877,0.0748,30
Texas,no-PI,0.0,0.5910,0.0587,30
Texas,no-PI,5.0,0.5746,0.0637,30
Texas,no-PI,10.0,0.5613,0.0713,30
Texas,no-PI,20.0,0.5876,0.0762,30
Texas,GDC-PI,0.0,0.6315,0.0625,30
Texas,GDC-PI,5.0,0.6237,0.0665,30
Texas,GDC-PI,10.0,0.6065,0.0736,30
Texas,GDC-PI,20.0,0.6821,0.0757,30
