dataset,backbone,variant,mean,std,n
ACM,HAN,none,0.663078,0.020853,10
ACM,HAN,epd,0.724693,0.060324,10
ACM,HAN,shuffled,0.719594,0.085689,10
ACM,HAN,random,0.734419,0.035591,10
ACM,HGT,none,0.734986,0.060180,10
ACM,HGT,epd,0.750330,0.050266,10
ACM,HGT,shuffled,0.727762,0.086305,10
ACM,HGT,random,0.662040,0.080335,10
